60
Tranquility
1
0:58:False
1399,1660
1429,1630
1399,1600
1175,1420
1175,1420
1165,1432
1160,1438
1156,1445
1151,1452
1147,1458
1143,1465
1139,1472
1136,1479
1132,1486
1129,1494
1125,1501
1122,1509
1120,1516
1117,1524
1114,1531
1112,1539
1110,1547
1108,1555
1106,1563
1105,1571
1103,1579
1102,1587
1101,1596
1100,1604
1100,1610
1100,1650
1100,1655
1101,1663
1102,1671
1103,1680
1105,1688
1106,1696
1108,1704
1110,1712
1112,1720
1114,1728
1117,1735
1120,1743
1122,1750
1125,1758
1129,1765
1132,1773
1136,1780
1139,1787
1143,1794
1147,1801
1151,1807
1156,1814
1160,1821
1165,1827
1175,1839
1185,1851
1186,1852
Psyche Orbit
1
0:129:True
980,1530
979,1536
979,1542
978,1548
977,1554
976,1560
974,1565
972,1571
970,1576
968,1582
965,1587
962,1592
959,1597
956,1601
952,1606
948,1610
944,1614
940,1618
936,1622
931,1626
927,1629
922,1632
917,1635
912,1638
906,1640
901,1642
895,1644
889,1646
884,1647
878,1648
872,1649
866,1649
860,1650
853,1649
847,1649
841,1648
835,1647
830,1646
824,1644
818,1642
813,1640
807,1638
802,1635
797,1632
792,1629
788,1626
783,1622
779,1618
775,1614
771,1610
767,1606
763,1601
760,1597
757,1592
754,1587
751,1582
749,1576
747,1571
745,1565
743,1559
742,1554
741,1548
740,1542
740,1536
740,1530
740,1523
740,1517
741,1511
742,1505
743,1500
745,1494
747,1488
749,1483
751,1477
754,1472
757,1467
760,1462
763,1458
767,1453
771,1449
775,1445
779,1441
783,1437
788,1433
792,1430
797,1427
802,1424
807,1421
813,1419
818,1417
824,1415
830,1413
835,1412
841,1411
847,1410
853,1410
860,1410
866,1410
872,1410
878,1411
884,1412
890,1413
895,1415
901,1417
906,1419
912,1421
917,1424
922,1427
927,1430
931,1433
936,1437
940,1441
944,1445
948,1449
952,1453
956,1458
959,1462
962,1467
965,1472
968,1477
970,1483
972,1488
974,1494
976,1500
977,1505
978,1511
979,1517
979,1523
980,1530
Vesta
1
0:129:True
-140,1860
-140,1870
-140,1881
-142,1891
-143,1902
-145,1912
-148,1922
-150,1932
-154,1941
-157,1951
-161,1960
-166,1968
-170,1977
-175,1985
-181,1993
-186,2001
-192,2008
-198,2015
-205,2022
-212,2028
-219,2034
-226,2039
-234,2044
-241,2049
-249,2053
-258,2057
-266,2060
-275,2063
-283,2065
-292,2067
-301,2068
-310,2069
-320,2070
-329,2069
-338,2068
-347,2067
-356,2065
-364,2063
-373,2060
-381,2057
-390,2053
-398,2049
-405,2044
-413,2039
-420,2034
-427,2028
-434,2022
-441,2015
-447,2008
-453,2001
-458,1993
-464,1985
-469,1977
-473,1968
-478,1960
-482,1951
-485,1941
-489,1932
-491,1922
-494,1912
-496,1902
-497,1891
-499,1881
-499,1870
-500,1860
-499,1849
-499,1838
-497,1828
-496,1817
-494,1807
-491,1797
-489,1787
-485,1778
-482,1768
-478,1759
-473,1751
-469,1742
-464,1734
-458,1726
-453,1718
-447,1711
-441,1704
-434,1697
-427,1691
-420,1685
-413,1680
-405,1675
-398,1670
-390,1666
-381,1662
-373,1659
-364,1656
-356,1654
-347,1652
-338,1651
-329,1650
-320,1650
-310,1650
-301,1651
-292,1652
-283,1654
-275,1656
-266,1659
-258,1662
-249,1666
-241,1670
-234,1675
-226,1680
-219,1685
-212,1691
-205,1697
-198,1704
-192,1711
-186,1718
-181,1726
-175,1734
-170,1742
-166,1751
-161,1759
-157,1768
-154,1778
-150,1787
-148,1797
-145,1807
-143,1817
-142,1828
-140,1838
-140,1849
-140,1860
Tycho
1
0:65:False
1438,1959
1446,1959
1455,1959
1463,1958
1471,1957
1480,1956
1488,1954
1496,1953
1504,1951
1512,1949
1520,1947
1528,1945
1535,1942
1543,1939
1550,1937
1558,1934
1565,1930
1573,1927
1580,1923
1587,1920
1594,1916
1601,1912
1607,1908
1614,1903
1621,1899
1627,1894
1639,1884
1651,1874
1663,1863
1674,1851
1684,1839
1692,1830
1400,1659
1186,1852
1196,1863
1208,1874
1220,1884
1232,1894
1238,1899
1245,1903
1252,1908
1258,1912
1265,1916
1272,1920
1279,1923
1286,1927
1294,1930
1301,1934
1309,1937
1316,1939
1324,1942
1331,1945
1339,1947
1347,1949
1355,1951
1363,1953
1371,1954
1379,1956
1387,1957
1396,1958
1404,1959
1413,1959
1421,1959
1426,1959
1432,1959
Moscoviense
1
0:66:False
1692,1429
1684,1420
1674,1408
1663,1396
1651,1385
1639,1375
1627,1365
1621,1360
1614,1356
1607,1351
1601,1347
1594,1343
1587,1339
1580,1336
1573,1332
1565,1329
1558,1325
1551,1322
1543,1320
1535,1317
1528,1314
1520,1312
1512,1310
1504,1308
1496,1306
1488,1305
